kaggle_review_style,srm_style,Number,Style Name,Style Category,ABV Min,ABV Max,ABV Mid,IBU Min,IBU Max,IBU Mid,SRM Min,SRM Max,SRM Mid,Description,Commercial Example Name,Commercial Example Picture,srm_rgb
Altbier,Altbier,7B,Altbier,Amber Bitter European Beer,4.3,5.5,4.9,25,50,37.5,11.0,17,14.0,A medium-bodied German-style beer that balances its bitterness and crisp maltiness with subtle fruity notes.,Uerige Altbier,http://lh4.ggpht.com/G8KnDQN0ye-f9rjhuWWAiQ5F9381u4slCcvVmJjjMWmeq5h_7x2DOBPGYGyzLArm3o_6dtLXPa4pBr7T1l2kWG8KhnSHVg,#C35900
American Adjunct Lager,American Lager,1B,American Lager,Standard American Beer,4.2,5.3,4.75,8,18,13.0,2.0,4,3.0,A light-bodied lager designed with drinkability in mind.,Pabst Blue Ribbon,http://lh3.googleusercontent.com/YiHW8qM1ktMHyatEEfLozu2G5odHJsZ4Z8ovTtGsFiJJUhy9Cw1zZ4Z37SDUW0f3-FDjM17n9tYMyjSUeJVwaMxieoOrhg,#FFCA5A
American Amber / Red Ale,American Amber Ale,19A,American Amber Ale,Amber and Brown American Beer,4.5,6.2,5.35,25,40,32.5,10.0,17,13.5,"A moderate, hoppy beer with a distinct caramel malty flavor.",Tröegs HopBack Amber Ale,http://lh6.ggpht.com/n_OjCBocXFckhhlJYLLVC4Lsp3FK1pqBb1dL714w05Tyh-HInKj25WBpAPn-0-HWtDJlQq_YUGJpcNIYkG4NsyLlE6C5vBI,#CB6200
American Amber / Red Lager,American Amber Ale,19A,American Amber Ale,Amber and Brown American Beer,4.5,6.2,5.35,25,40,32.5,10.0,17,13.5,"A moderate, hoppy beer with a distinct caramel malty flavor.",Tröegs HopBack Amber Ale,http://lh6.ggpht.com/n_OjCBocXFckhhlJYLLVC4Lsp3FK1pqBb1dL714w05Tyh-HInKj25WBpAPn-0-HWtDJlQq_YUGJpcNIYkG4NsyLlE6C5vBI,#CB6200
American Barleywine,American Barleywine,22C,American Barleywine,Strong American Ale,8.0,12.0,10.0,50,100,75.0,10.0,19,14.5,"A very strong ale with hop character, rich malt flavors, and prevalent alcohol with a very long finish.",Victory Old Horizontal,http://lh3.googleusercontent.com/FPh59c4EYFqeX669011UpWZdZxXRYf2T_XqKzfsOuCvAIABLdyPHopBHURjW-JK6Ulb-dXjKG8sZVpduTw49N60rt_q7sQ,#C35900
American Black Ale,Black IPA,21B-b,Black IPA,IPA,5.5,9.0,7.25,50,90,70.0,25.0,40,32.5,"A dark, hop-forward beer with supportive malts that provides gentle supporting character paired with a smooth mouthfeel.",21st Amendment Back in Black,http://lh5.ggpht.com/OMFof_9J5Gs_I2gT3lQtgsgWLsG1n5PHOWupUcKAbvsZy7_2KgpPhc10hxF4zkMmpmFgiq9U2ODtYx45d3QNtu9jl97j4w,#560A05
American Blonde Ale,Blonde Ale,18A,Blonde Ale,Pale American Ale,3.8,5.5,4.65,15,28,21.5,3.0,6,4.5,"An approachable, malt-oriented American beer that is well-balanced and great for easy-drinking.",Pelican Kiwanda Cream Ale,http://lh3.ggpht.com/AUfECl5VbzYs4ETJLB3KDfjQrxjH8kw0NPfuz8YwbVDyQHiqP9FPk0GplLaUCp_LTWyWLvJ0zT0Dm4y04CxRZU40j4mlVgY,#FFBF42
American Brown Ale,American Brown Ale,19C,American Brown Ale,Amber and Brown American Beer,4.3,6.2,5.25,20,30,25.0,18.0,35,26.5,A malty beer that uses its hop flavor to complement and enhance its chocolate and caramel characters.,Cigar City Maduro Brown Ale,http://lh5.ggpht.com/Vtvhn4_0lW2E99IbP45NA6CCvT6Q42WqCy9Qqe5cMyMFLiUF0IiAxjMhiqYSQxDbtkGuMayxc0QN-W0kdE7ZaJk2kze8XI4,#771900
American Dark Wheat Ale,Dark Mild,13A,Dark Mild,Brown British Beer,3.0,3.8,3.4,10,25,17.5,12.0,25,18.5,"A dark, malt-focused session ale with a wide range of dark malt and sugar expression.",Theakston Traditional Mild,,#A63E00
American Double / Imperial IPA,Double IPA,22A,Double IPA,Strong American Ale,7.5,10.0,8.75,60,120,90.0,6.0,14,10.0,"An intensely hoppy pale ale with minimal malt character, designed to showcase its strong hop flavors.",Avery Maharaja,http://lh6.ggpht.com/6EOroCaFYkMDcgYEegdvYEaZHPGLEaIeXVp_SBJ67Ws9f6USJIBPIusqSTSA0WY3AuOOzSDWpCtdM_8IwviczJE5IGhM-g,#DE7C00
American Double / Imperial Pilsner,German Pils,5D,German Pils,Pale Bitter European Beer,4.4,5.2,4.8,22,40,31.0,2.0,5,3.5,"A gold-colored, light-bodied German-style beer with crisp, floral hop aroma.",Paulaner Premium Pils,http://lh3.googleusercontent.com/YYFkpyGZTRstXaUpjRm2PlXYRFOpAwk8GFFvAnlupYS_gG7lG1y5GUaeAj2xlemNf-QsmmBrFoBBn9v8yoYrTNnZF2SI,#FFCA5A
American Double / Imperial Stout,Imperial Stout,20C,Imperial Stout,American Porter and Stout,8.0,12.0,10.0,50,90,70.0,30.0,40,35.0,"A big, intensely flavored dark ale that ends with a warming, bittersweet finish.",Great Divide Yeti Imperial Stout,http://lh3.googleusercontent.com/jcs7YGvNt-1Q2wopxYGkZBJSOetf-wVEWRad9fKQtLOyQncIrfmVbgPN2b2tDR3mTCUATwUUt8w0CCIxHT27pHkmNF-ENw,#470606
American IPA,American IPA,21A,American IPA,IPA,5.5,7.5,6.5,40,70,55.0,6.0,14,10.0,"A bitter, moderately strong American pale ale that uses its clean, supporting malt to showcase its hop character.",Lagunitas IPA,http://lh4.ggpht.com/yelcHpRoDHQ7KykVmtGEC-Pa1RxrIlj-1XayiT0uHmNwCuJNMT-IzwIY19Ndgqu_MnYBLWiHQoXIV0KGRKE9LrbFrAyy,#DE7C00
American Malt Liquor,American Lager,1B,American Lager,Standard American Beer,4.2,5.3,4.75,8,18,13.0,2.0,4,3.0,A light-bodied lager designed with drinkability in mind.,Pabst Blue Ribbon,http://lh3.googleusercontent.com/YiHW8qM1ktMHyatEEfLozu2G5odHJsZ4Z8ovTtGsFiJJUhy9Cw1zZ4Z37SDUW0f3-FDjM17n9tYMyjSUeJVwaMxieoOrhg,#FFCA5A
American Pale Ale (APA),American Pale Ale,18B,American Pale Ale,Pale American Ale,4.5,6.2,5.35,30,50,40.0,5.0,10,7.5,"A moderate, refreshing ale with noticeable hop aroma balanced by supporting malt flavors.",Sierra Nevada Pale Ale,http://lh3.googleusercontent.com/1KpRDqZoad482vvDW12Oi8gDlc-X-Lj0p0COkpfttQYg8KHwQQiYRFPtkrE8q4_7IdNgIRiijQUyxlYbim--C2x3fXJxdw,#F39C00
American Pale Lager,American Lager,1B,American Lager,Standard American Beer,4.2,5.3,4.75,8,18,13.0,2.0,4,3.0,A light-bodied lager designed with drinkability in mind.,Pabst Blue Ribbon,http://lh3.googleusercontent.com/YiHW8qM1ktMHyatEEfLozu2G5odHJsZ4Z8ovTtGsFiJJUhy9Cw1zZ4Z37SDUW0f3-FDjM17n9tYMyjSUeJVwaMxieoOrhg,#FFCA5A
American Pale Wheat Ale,American Wheat Beer,1D,American Wheat Beer,Standard American Beer,4.0,5.5,4.75,15,30,22.5,3.0,6,4.5,A refreshing wheat beer that favors hoppy notes over yeast character.,Bell's Oberon,http://lh4.ggpht.com/-pil94g1ZAhgpNsUNe7WI6XqR-ccvOoFowdVHVg18_ia0jXu866HF9_Ye-nC6i3SHGaF5lmqOM5uMhyHQG2HpT4Aq1l5Dw,#FFBF42
American Porter,American Porter,20A,American Porter,American Porter and Stout,4.8,6.5,5.65,25,50,37.5,22.0,40,31.0,"A complex, malty dark beer with a lightly burnt character.",Deschutes Black Butte Porter,http://lh3.ggpht.com/Mo4SwswgDbAr6sdAdV1FaTpQYFj-IOt_f1HPRgvakEUl6Wn8pXh4oytR7zGAY__CIpekSTM0Swd0-Gn_a54V4I2ZWeZXng,#5A0A02
American Stout,American Stout,20B,American Stout,American Porter and Stout,5.0,7.0,6.0,35,75,55.0,30.0,40,35.0,"A fairly strong, highly roasted dark stout with pronounced bitterness.",Rogue Shakespeare Stout,http://lh3.googleusercontent.com/K4NzvKugIk-Y8tVwM0xLxP_yL0wId-r82cW7uhGqcxg5jDaR9kbKmDyFaKjA1Ocu121Rhuxi26L3dDT3XfsJrvhYOZOE,#470606
American Strong Ale,American Strong Ale,22B,American Strong Ale,Strong American Ale,6.3,10.0,8.15,50,100,75.0,7.0,19,13.0,A strong ale with full malt and hop flavors and distinct bitterness.,Bear Republic Red Rocket Ale,http://lh3.googleusercontent.com/L85hcgsBmYh9AVZuQ4e5RoE4X-WBK1--RnLiaTl9oLDzuA2WWE_5lyri0iv825sXoEsZPdSzDSv9Yh_jgxGTj6WULBHMvQ,#CB6200
American Wild Ale,American Pale Ale,18B,American Pale Ale,Pale American Ale,4.5,6.2,5.35,30,50,40.0,5.0,10,7.5,"A moderate, refreshing ale with noticeable hop aroma balanced by supporting malt flavors.",Sierra Nevada Pale Ale,http://lh3.googleusercontent.com/1KpRDqZoad482vvDW12Oi8gDlc-X-Lj0p0COkpfttQYg8KHwQQiYRFPtkrE8q4_7IdNgIRiijQUyxlYbim--C2x3fXJxdw,#F39C00
Baltic Porter,Baltic Porter,9C,Baltic Porter,Strong European Beer,6.5,9.5,8.0,20,40,30.0,17.0,30,23.5,A complex beer that combines multi-layered malt with dark fruit flavors.,Devils Backbone Danzig,http://lh5.ggpht.com/WjdcC6-n0WyBdZ-cu4BBgMNL8pPHX2wptFALwqTgzfQ40eHjejd4wLDu76ny1ehxEIyZbCi0ZS0w_oHJAJng8JhAASw7hg,#882300
Belgian Dark Ale,Belgian Dark Strong Ale,26D,Belgian Dark Strong Ale,Trappist Ale,8.0,12.0,10.0,20,35,27.5,12.0,22,17.0,A very strong and complex Belgian ale full of dark fruit flavors,Boulevard The Sixth Glass,http://lh3.ggpht.com/tZsUUiz2K2nnhkwzuPDEJ2LXxohitK_O5cuJMZX0ty6p19V3hcWsiTUFaYOAJ_o9zxQ2Qbim0SG6Vk0u72f3uhhumA5PQZk,#B04500
Belgian IPA,Belgian IPA,21B-a,Belgian IPA,IPA,6.2,9.5,7.85,50,100,75.0,5.0,15,10.0,A light-colored ale with strong bitterness paired with the fruity and spicy esters derived from its Belgian yeast.,Stone Cali-Belgique,http://lh3.ggpht.com/uQYp_2c6DOh4XYRh3O8Z3Z7EKPt9iA-ybF18OAkClDeG6yALi92A4hpDTUyFnRHHneQxv4TrSFfTKa8uDcXncqB2VnAr4AQ,#DE7C00
Belgian Pale Ale,Belgian Pale Ale,24B,Belgian Pale Ale,Belgian Ale,4.8,5.5,5.15,20,30,25.0,8.0,14,11.0,A somewhat fruity and easy drinking Belgian ale which is less aggressive than many other Belgian beers,Palm Speciale,,#D77200
Belgian Strong Dark Ale,Belgian Dark Strong Ale,26D,Belgian Dark Strong Ale,Trappist Ale,8.0,12.0,10.0,20,35,27.5,12.0,22,17.0,A very strong and complex Belgian ale full of dark fruit flavors,Boulevard The Sixth Glass,http://lh3.ggpht.com/tZsUUiz2K2nnhkwzuPDEJ2LXxohitK_O5cuJMZX0ty6p19V3hcWsiTUFaYOAJ_o9zxQ2Qbim0SG6Vk0u72f3uhhumA5PQZk,#B04500
Belgian Strong Pale Ale,Belgian Pale Ale,24B,Belgian Pale Ale,Belgian Ale,4.8,5.5,5.15,20,30,25.0,8.0,14,11.0,A somewhat fruity and easy drinking Belgian ale which is less aggressive than many other Belgian beers,Palm Speciale,,#D77200
Berliner Weissbier,Berliner Weisse,23A,Berliner Weisse,European Sour Ale,2.8,3.8,3.3,3,8,5.5,2.0,3,2.5,A very pale wheat beer low in alcohol with light bread and clean lactic sour flavors.,Bayerischer Bahnhof Berliner Style Weisse,http://lh4.ggpht.com/-uz5m5yx_u8zhYhndA0hf3uxeWihOLLgbJ3kRX5u2PQTocps2C_EbGFpb0JwLwltshv1Wx-x65XeAGDr9S3IlhNSC3j1,#FFD878
Bière de Champagne / Bière Brut,Gueuze,23E,Gueuze,European Sour Ale,5.0,8.0,6.5,0,10,5.0,3.0,7,5.0,"A sour, balanced, highly carbonated, and very refreshing Belgian wheat beer.",Drie Fonteinen Oud Gueuze,http://lh6.ggpht.com/L71P6cE6tA9StUI4d4G2SgrNH1Sy0jeo81vvComN0Acb72AHsrKZV6IMI318erlSKbUEIaU-kndGnIOU8JM_f0NegMsylw,#FBB123
Bière de Garde,Biére de Garde,24C,Biére de Garde,Belgian Ale,6.0,8.5,7.25,18,28,23.0,6.0,19,12.5,A very malty and strong lagered ale,Russian River Perdition,http://lh6.ggpht.com/HxQ3KKCKgyopjT6nRNnLOmh1-wO_ouiTiV0lLONp_ylLuvWinBY02lze3p7edO1DUIFc6rmFPpVe6qTpfQZT1KDS_ow48is,#CF6900
Black & Tan,Black IPA,21B-b,Black IPA,IPA,5.5,9.0,7.25,50,90,70.0,25.0,40,32.5,"A dark, hop-forward beer with supportive malts that provides gentle supporting character paired with a smooth mouthfeel.",21st Amendment Back in Black,http://lh5.ggpht.com/OMFof_9J5Gs_I2gT3lQtgsgWLsG1n5PHOWupUcKAbvsZy7_2KgpPhc10hxF4zkMmpmFgiq9U2ODtYx45d3QNtu9jl97j4w,#560A05
Bock,Dunkles Bock,6C,Dunkles Bock,Amber Malty European Lager,6.3,7.2,6.75,20,27,23.5,14.0,22,18.0,"A dark, strong German-style lager that emphasizes its malt richness and toasty qualities.",Great Lakes Rockefeller Bock,http://lh3.googleusercontent.com/EV9F5zO4gMVXPKMnDMGuMQFYJmsm2fQBrKDuv-QLXV0Dqs1RseYxDsbxJLVo_uBB9WkMKlYsZFtu-pQrY45PI-eZORy9Sg,#A63E00
Braggot,English Barleywine,17D,English Barleywine,Strong British Ale,8.0,12.0,10.0,35,70,52.5,8.0,22,15.0,"An intense, complex English ale that showcases malty richness paired with a velvety, luscious texture.",Firestone Walker Sucaba,http://lh4.ggpht.com/2bEtJiPT1M-oFo1Nro8xbvfRL40dpuKM3qOr9jc7hmq1pMFGQxDhuwcqFkNV0YvNXNumyQbTLGjOVBMqLzbR8XdM5ZBQpQ,#BB5100
California Common / Steam Beer,California Common,19B,California Common,Amber and Brown American Beer,4.5,5.5,5.0,30,45,37.5,10.0,14,12.0,"A crisp, lightly toasty beer with pronounced hop flavor favoring a woody, rustic bitterness.",Anchor Steam,http://lh5.ggpht.com/eRZk05l9u4hpB6Nap2pMl5q6eirc1sSKKGMfmVh7pN1D5CEIUYsUtBISM8GZBQtaC6fE-fv-zf0-O6u_BNdIXrvfriGasQ,#CF6900
Chile Beer,American Lager,1B,American Lager,Standard American Beer,4.2,5.3,4.75,8,18,13.0,2.0,4,3.0,A light-bodied lager designed with drinkability in mind.,Pabst Blue Ribbon,http://lh3.googleusercontent.com/YiHW8qM1ktMHyatEEfLozu2G5odHJsZ4Z8ovTtGsFiJJUhy9Cw1zZ4Z37SDUW0f3-FDjM17n9tYMyjSUeJVwaMxieoOrhg,#FFCA5A
Cream Ale,Cream Ale,1C,Cream Ale,Standard American Beer,4.2,5.6,4.9,8,20,14.0,2.5,5,3.75,An ale that is light and crisp while medium-bodied with a smooth mouthfeel.,Mother Earth Cali Creamin',http://lh5.ggpht.com/0uLs4sqO1hu_cYZh77WzWB1edCyktbLOfquxrN-Ua58ZVY_xu5Gl1LwmBcjl0NpRe8o_fZJUK3QIhatbWPYvMVqrmNzJgg,#FFCA5A
Czech Pilsener,German Pils,5D,German Pils,Pale Bitter European Beer,4.4,5.2,4.8,22,40,31.0,2.0,5,3.5,"A gold-colored, light-bodied German-style beer with crisp, floral hop aroma.",Paulaner Premium Pils,http://lh3.googleusercontent.com/YYFkpyGZTRstXaUpjRm2PlXYRFOpAwk8GFFvAnlupYS_gG7lG1y5GUaeAj2xlemNf-QsmmBrFoBBn9v8yoYrTNnZF2SI,#FFCA5A
Doppelbock,Doppelbock,9A,Doppelbock,Strong European Beer,7.0,10.0,8.5,16,26,21.0,6.0,25,15.5,"A noticeably strong, rich, and very malty German-style lager.",Tröegs Troegenator,http://lh6.ggpht.com/n_OjCBocXFckhhlJYLLVC4Lsp3FK1pqBb1dL714w05Tyh-HInKj25WBpAPn-0-HWtDJlQq_YUGJpcNIYkG4NsyLlE6C5vBI,#BB5100
Dortmunder / Export Lager,German Helles Exportbier,5C,German Helles Exportbier,Pale Bitter European Beer,4.8,6.0,5.4,20,30,25.0,4.0,7,5.5,"A well-balanced, smooth German-style lager with moderate body and aromatic hop character.",DAB Original,http://lh3.ggpht.com/Jt3XYDPr1AdjXNIuLfUTbPMfGW4ZGTloqQv7nWfXv6hUZRAtcfkYf5wNxm5JeayVHX651jh2-oYCnWhn4x3TzUO6dE1b,#FBB123
Dubbel,Doppelbock,9A,Doppelbock,Strong European Beer,7.0,10.0,8.5,16,26,21.0,6.0,25,15.5,"A noticeably strong, rich, and very malty German-style lager.",Tröegs Troegenator,http://lh6.ggpht.com/n_OjCBocXFckhhlJYLLVC4Lsp3FK1pqBb1dL714w05Tyh-HInKj25WBpAPn-0-HWtDJlQq_YUGJpcNIYkG4NsyLlE6C5vBI,#BB5100
Dunkelweizen,Dunkles Weissbier,10B,Dunkles Weissbier,German Wheat Beer,4.3,5.6,4.95,10,18,14.0,14.0,23,18.5,"A moderately dark German-style wheat beer with a banana-and-clove yeast character, supported by a toasted bread flavor.",Bombshell Dunkelweizen,http://lh4.ggpht.com/H2OFaLnTNXb0SDMACr7jP2sw5XUxZMdKMtz3gQktnlvRDDVB2NOC_fQzs6QBOX00sBtCBPMQo8Nmia5ysEikF7OdxRYLXg,#A63E00
